,id,comment,program,time,love,play
0,seniecrew,걱정마세요. 언제나 잘 보고 잘 듣고 있어요.,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
1,수연마미,있어요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
2,sea,블루밍 예술이여요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
3,seniecrew,아이고 그러셨구나,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
4,찐찐,지금 플라워 원피스 사이즈 몇까지 가능할까요?,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
5,봄밤,썸머체크자켓밑에 치마바지는 오늘 진행 안하는거예요?,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
6,호야맘,가라앉지 마셔요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
7,머니조,블루밍안타까워요ㅠ 사이즈가 ㅋㅋ,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
8,lov,셔츠원피스요!!!!,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
9,sea,,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
10,seniecrew,네. 있어요.,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
11,호야맘,있어요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
12,꽃바쥬,맥주한잔 했더니 졸려서요..ㅠㅠ,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
13,sea,,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
14,특별부록,초반에 입으셨던 레드스트라이프 셔츠요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
15,호야맘,항상,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
16,때끼요놈,여깄습니다!!,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
17,호야맘,,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
18,gau,썸머퍼프 세트 구매햇어용,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
19,때끼요놈,,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
20,sea,,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
21,패리스,저두 레드 스트라이프 좋아요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
22,bin,블루밍 말씀대로 자크색도 정말 이뻣어요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
23,봄밤,언니 진주벨트 함만 보여주세요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
24,호야맘,지금 입으신 셔츠도 이쁘네요,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
25,특별부록,네,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
26,lov,이뿌던데!! 레드 셔츠,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
27,패리스,큐빅 물 테스트 언제 끝나요??? 눈에 밟혀서,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
28,때끼요놈,블랑 셔츠는 다 이뽀여,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
29,seniecrew,진주벨트 예뻐요. 진주 벌어짐도 없어요.,느와르블랑온리블랑 특집전 ,2022-04-23_23:33:16,"11,488","1,433"
30,nunu,한아름 담아가세여 쀼쀼 ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
31,nunu,언니들 힐링 쇼핑 ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
32,nunu,오 저위에 뽀빠이 맨투맨도 이쁠듯,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
33,nunu,그냥 보여달라신듯 ㅎ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
34,nunu,수프로 언니?,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
35,nunu,패스? ㅎ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
36,nunu,치마 편할듯 ㅎㅎ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
37,nunu,치마바징 ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
38,nunu,언니 구거 뭐에요 린넨 아이보리 반팔자켓,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
39,nunu,저번에 재방 보다가 봤는뎅,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
40,nunu,되게 고급져 보여뜸,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
41,nunu,아무리 찾아도 없는거 보니 안올린 신상인듯,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
42,nunu,저거 말구 살짝 핏되는,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
43,nunu,아님,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
44,nunu,아이보리임,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
45,nunu,아 린넨이 아닌가 보다,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
46,nunu,암튼 반팔이구 화이트였움,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
47,nunu,걔랑 비슷하게 생김,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
48,nunu,어떤언니한테 추천 해주셨어요,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
49,nunu,어 구거당,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
50,nunu,아 구건가?,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
51,nunu,아 구거아닌데,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
52,nunu,어 구거 구거,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
53,nunu,넹 ,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
54,nunu,걔 소재 뭐에요,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
55,nunu,왜 안올렸어요?,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
56,nunu,66되죠?,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
57,nunu,구거 살지 고급 자켓 살지,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
58,nunu,고민인뎅,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
59,nunu,언닌 뭐가 나요?,베라엘의 쇼핑라이브,2022-04-23_23:33:21,"3,651","1,228"
60,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
61,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
62,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
63,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
64,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
65,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
66,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
67,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
68,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
69,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
70,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
71,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
72,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
73,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
74,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
75,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
76,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
77,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
78,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
79,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
80,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
81,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
82,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
83,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
84,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
85,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
86,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
87,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
88,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
89,nan,nan,베라엘의 쇼핑라이브,2022-04-23_23:53:51,"3,736","1,439"
90,축복받은순수녀,골드가 사장님께어울리시는것같아요,브라보 아하몰의 쇼핑라이브,2022-04-23_23:06:36,"1,242",941
91,쭈맘,실버가 어술리면 쿨톤 금이 어울리면 웜톤이라던데 전 웜톤인데 골드가 안어울리는 ㅎㅎ,브라보 아하몰의 쇼핑라이브,2022-04-23_23:06:36,"1,242",941
92,축복받은순수녀,네 보여요,브라보 아하몰의 쇼핑라이브,2022-04-23_23:06:36,"1,242",941
93,축복받은순수녀,예뻐요,브라보 아하몰의 쇼핑라이브,2022-04-23_23:06:36,"1,242",941
