,id,comment,program,time,love,play
0,버뮤다,안녕하세요~,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
1,사막여우,방가워요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
2,사막여우,대기했지렁,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
3,틴틴,홍게 너무 먹고싶었어요 ㅠㅠ,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
4,틴틴,저번 방송때 구매 못해서ㅜㅜ,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
5,모모,안녕하세요. 알람 떠서 왔어요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
6,,,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:01:48,4,"4,308"
7,미니,홍게네요 오늘,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:02:42,27,"4,332"
8,미니,홍게도 맛있겠다,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:02:42,27,"4,332"
9,미니,홍게~,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:02:42,27,"4,332"
10,힘,홍게 가격 부담 없이 먹기 좋은데!!,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:03:44,29,"4,350"
11,힘,홍게 방송 하시네 딱,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:03:44,29,"4,350"
12,사막여우,먹을 것도 많아요??,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:03:44,29,"4,350"
13,버뮤다,3키로면 몇마리인가요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:04:52,49,"4,365"
14,착한토끼,방송이 안나오네요 저만그런가,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:04:52,49,"4,365"
15,틴틴,빠른 배송 가능한가요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:05:40,56,"4,385"
16,간지,많이 들어있네요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:06:26,66,"4,393"
17,간지,살 통통할려나~,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:07:13,67,"4,399"
18,마미얌,내장이 많이 있네요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:08:06,97,"4,409"
19,ljm,저도 방송 안나와요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:08:06,97,"4,409"
20,마미얌,이정도면 밥비벼 먹는데 아주 좋을거 같아요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:08:06,97,"4,409"
21,사막여우,내장에 밥 비벼 먹으면 맛있을 거 같아요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:08:59,108,"4,423"
22,ljm,착한토끼님 나갔다 다시 들어오니 됩니다,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:09:46,108,"4,429"
23,간지,3키로씩만 추가구매 가능 하죠??,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:10:42,110,"4,437"
24,장미같은,배송이 얼마나 걸릴까요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:11:43,144,"4,447"
25,돌돌이,국물용하고 프리미엄하고 차이가 많나요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:11:43,144,"4,447"
26,킴구사이,맛 기대되네요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:12:50,216,"4,457"
27,사막여우,수율이 좋나보네여~ ㅎㅎ,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:12:50,216,"4,457"
28,마미얌,당일 조업이라 신선하겠어요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:13:56,255,"4,464"
29,신사,토요일에 배송 지정하면 토요일에받을 수 있는 건가요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:15:53,296,"4,490"
30,시작,홍게 맛있어요? 연지홍게는 뭐가 다른 가요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:17:47,300,"4,512"
31,장미같은,주문 했는데 홍게 살 많았으면 좋겠네요~,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:19:55,464,"4,531"
32,대박이,살 수율 괜찮나요?,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:19:55,464,"4,531"
33,착한토끼,저도 믿고 주문했어요 가족들이랑 먹으려구요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:21:03,568,"4,537"
34,장미같은,내장도 많길~ㅎ,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:21:03,568,"4,537"
35,대박이,내장 상당히 많아 보이네요,부담없고_푸짐한_구룡포_연지홍게_라이브_특가행사!,2022-05-02_10:21:03,568,"4,537"
0,mh남편,합배송 신청하면 배송비는 제외인가요??,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
1,패랭이,이건 개꿀,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
2,패랭이,인정ㅡㅡㅋ,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
3,mh남편,기다린 보람이 있네요^^,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
4,반지하의제왕,감사합니당 ^.^,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
5,반지하의제왕,개꿀 워플~~~,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
6,패랭이,mh남편님워플,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
7,패랭이,구매후합배싀,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
8,패랭이,"무배욧 위플 배송비없어쪼,",시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
9,패랭이,",",시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
10,패랭이,?,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
11,mh남편,네..워플결재다했는데,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
12,패랭이,네네,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
13,패랭이,그럼 딴거사시고,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
14,mh남편,3ph구매하려구요,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
15,반지하의제왕,추가할 상품 착불 구매하시고 네이버 톡톡 합배송요청,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
16,패랭이,착불로,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
17,패랭이,하신후 합배,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
18,반지하의제왕,하시면되요,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
19,패랭이,하심 댑니다,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
20,mh남편,아...감사합니다^^,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
21,반지하의제왕,ㅎㅎ,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
22,mh남편,패랭이님도 당첨축하드립니다^^,시크릿상품_엔공구_대표님_빅딜!!_단_하루의_기회🎁,2022-05-02_13:10:03,"33,026","6,784"
